Day,Month,Year,Type,Own_Team,Opp_Team,Own_Goal,Opp_Goal
14,6,2014,World Cup,Greece,Colombia,0,3
14,6,2014,World Cup,Costa Rica,Uruguay,0,3
14,6,2014,World Cup,Italy,England,0,3
13,6,2014,World Cup,Mexico,Cameroon,1,0
13,6,2014,World Cup,Spain,Netherlands,1,0
13,6,2014,World Cup,Chile,Australia,1,0
13,6,2014,World Cup,Cameroon,Mexico,0,1
13,6,2014,World Cup,Netherlands,Spain,0,1
13,6,2014,World Cup,Australia,Chile,0,1
12,6,2014,World Cup,Brazil,Croatia,3,1
12,6,2014,World Cup,Croatia,Brazil,1,3
1,7,2012,EURO,Spain,Italy,4,0
1,7,2012,EURO,Italy,Spain,0,4
28,6,2012,EURO,Germany,Italy,1,2
28,6,2012,EURO,Italy,Germany,2,1
27,6,2012,EURO,Portugal,Spain,0,0
27,6,2012,EURO,Spain,Portugal,0,0
24,6,2012,EURO,England,Italy,0,0
24,6,2012,EURO,Italy,England,0,0
23,6,2012,EURO,Spain,France,2,0
23,6,2012,EURO,France,Spain,0,2
22,6,2012,EURO,Germany,Greece,4,2
22,6,2012,EURO,Greece,Germany,2,4
21,6,2012,EURO,Czech Republic,Portugal,0,1
21,6,2012,EURO,Portugal,Czech Republic,1,0
19,6,2012,EURO,Sweden,France,2,0
19,6,2012,EURO,England,Ukraine,2,0
19,6,2012,EURO,France,Sweden,0,2
19,6,2012,EURO,Ukraine,England,0,2
18,6,2012,EURO,Croatia,Spain,0,1
18,6,2012,EURO,Italy,Ireland,0,1
18,6,2012,EURO,Spain,Croatia,1,0
18,6,2012,EURO,Ireland,Italy,1,0
17,6,2012,EURO,Portugal,Netherlands,2,1
17,6,2012,EURO,Denmark,Germany,2,1
17,6,2012,EURO,Netherlands,Portugal,1,2
17,6,2012,EURO,Germany,Denmark,1,2
16,6,2012,EURO,Czech Republic,Poland,1,0
16,6,2012,EURO,Greece,Russia,1,0
16,6,2012,EURO,Poland,Czech Republic,0,1
16,6,2012,EURO,Russia,Greece,0,1
15,6,2012,EURO,Ukraine,France,0,2
15,6,2012,EURO,Sweden,England,0,2
15,6,2012,EURO,France,Ukraine,2,0
15,6,2012,EURO,England,Sweden,2,0
14,6,2012,EURO,Italy,Croatia,1,1
14,6,2012,EURO,Spain,Ireland,1,1
14,6,2012,EURO,Croatia,Italy,1,1
14,6,2012,EURO,Ireland,Spain,1,1
13,6,2012,EURO,Denmark,Portugal,2,3
13,6,2012,EURO,Netherlands,Germany,2,3
13,6,2012,EURO,Portugal,Denmark,3,2
13,6,2012,EURO,Germany,Netherlands,3,2
12,6,2012,EURO,Greece,Czech Republic,1,2
12,6,2012,EURO,Poland,Russia,1,2
12,6,2012,EURO,Czech Republic,Greece,2,1
12,6,2012,EURO,Russia,Poland,2,1
11,6,2012,EURO,France,England,1,1
11,6,2012,EURO,Ukraine,Sweden,1,1
11,6,2012,EURO,England,France,1,1
11,6,2012,EURO,Sweden,Ukraine,1,1
10,6,2012,EURO,Spain,Italy,1,1
10,6,2012,EURO,Ireland,Croatia,1,1
10,6,2012,EURO,Italy,Spain,1,1
10,6,2012,EURO,Croatia,Ireland,1,1
9,6,2012,EURO,Netherlands,Denmark,0,1
9,6,2012,EURO,Germany,Portugal,0,1
9,6,2012,EURO,Denmark,Netherlands,1,0
9,6,2012,EURO,Portugal,Germany,1,0
8,6,2012,EURO,Poland,Greece,1,1
8,6,2012,EURO,Russia,Czech Republic,1,1
8,6,2012,EURO,Greece,Poland,1,1
8,6,2012,EURO,Czech Republic,Russia,1,1
24,7,2011,Copa America,Uruguay,Paraguay,3,0
24,7,2011,Copa America,Paraguay,Uruguay,0,3
23,7,2011,Copa America,Peru,Venezuela,4,1
23,7,2011,Copa America,Venezuela,Peru,1,4
21,7,2011,Copa America,Paraguay,Venezuela,0,0
21,7,2011,Copa America,Venezuela,Paraguay,0,0
20,7,2011,Copa America,Peru,Uruguay,0,2
20,7,2011,Copa America,Uruguay,Peru,2,0
17,7,2011,Copa America,Brazil,Paraguay,0,0
17,7,2011,Copa America,Chile,Venezuela,0,0
17,7,2011,Copa America,Paraguay,Brazil,0,0
17,7,2011,Copa America,Venezuela,Chile,0,0
16,7,2011,Copa America,Colombia,Peru,0,2
16,7,2011,Copa America,Argentina,Uruguay,0,2
16,7,2011,Copa America,Peru,Colombia,2,0
16,7,2011,Copa America,Uruguay,Argentina,2,0
14,7,2011,Copa America,Brazil,Ecuador,4,2
14,7,2011,Copa America,Ecuador,Brazil,2,4
13,7,2011,Copa America,Uruguay,Mexico,1,0
13,7,2011,Copa America,Paraguay,Venezuela,1,0
13,7,2011,Copa America,Mexico,Uruguay,0,1
13,7,2011,Copa America,Venezuela,Paraguay,0,1
12,7,2011,Copa America,Argentina,Costa Rica,3,0
12,7,2011,Copa America,Chile,Peru,3,0
12,7,2011,Copa America,Costa Rica,Argentina,0,3
12,7,2011,Copa America,Peru,Chile,0,3
10,7,2011,Copa America,Colombia,Bolivia,2,0
10,7,2011,Copa America,Bolivia,Colombia,0,2
9,7,2011,Copa America,Peru,Mexico,1,0
9,7,2011,Copa America,Brazil,Paraguay,1,0
9,7,2011,Copa America,Venezuela,Ecuador,1,0
9,7,2011,Copa America,Mexico,Peru,0,1
9,7,2011,Copa America,Paraguay,Brazil,0,1
9,7,2011,Copa America,Ecuador,Venezuela,0,1
8,7,2011,Copa America,Uruguay,Chile,1,1
8,7,2011,Copa America,Chile,Uruguay,1,1
7,7,2011,Copa America,Argentina,Colombia,0,0
7,7,2011,Copa America,Bolivia,Costa Rica,0,0
7,7,2011,Copa America,Colombia,Argentina,0,0
7,7,2011,Copa America,Costa Rica,Bolivia,0,0
5,7,2011,Copa America,Chile,Mexico,2,1
5,7,2011,Copa America,Mexico,Chile,1,2
4,7,2011,Copa America,Uruguay,Peru,1,1
4,7,2011,Copa America,Peru,Uruguay,1,1
3,7,2011,Copa America,Brazil,Venezuela,0,0
3,7,2011,Copa America,Paraguay,Ecuador,0,0
3,7,2011,Copa America,Venezuela,Brazil,0,0
3,7,2011,Copa America,Ecuador,Paraguay,0,0
2,7,2011,Copa America,Argentina,Bolivia,1,1
2,7,2011,Copa America,Colombia,Costa Rica,1,1
2,7,2011,Copa America,Bolivia,Argentina,1,1
2,7,2011,Copa America,Costa Rica,Colombia,1,1
20,6,2008,EURO,Croatia,Turkey,1,1
20,6,2008,EURO,Turkey,Croatia,1,1
13,6,2008,EURO,Italy,Romania,1,1
13,6,2008,EURO,Netherlands,France,1,1
13,6,2008,EURO,Romania,Italy,1,1
13,6,2008,EURO,France,Netherlands,1,1
